Team,Wins,Losses,PythWins,PointsAllowed,PointsFor,MoV,SOS,VAR,oDVOA,DVOA,TOL,SC%,TO%,oEXP,pEXP,rEXP,RZ%,PPD,dEXP,Takeaways,dSc%,dTO%,dpEXP,drEXP,dRZ%,PPDa,AVg,AVl,ImpAdd,NYWins,NYDVOA,NYPA,NYPF,NYoDVOA,NYdDVOA
2015 Browns,3,13,5,432,278,-9.6,3.5,3.1,-14.9,7.1,30,29.8,15.2,-24.51,18.79,-43.3,38.3,1.46,-114.79,21,41.9,11.7,-128.02,13.23,58.1,2.26,17,17,1,1,-30.4,452,264,-15.1,14.3
2015 Cowboys,4,12,6,374,275,-6.2,-0.7,4,-18.4,2,33,31.4,18,-34.4,-25.67,-8.73,44.4,1.5,-64.24,11,36.7,5.6,-86,21.76,51,1.89,21,15,3,13,20.3,306,421,19.1,-1
2015 Broncos,12,4,9,296,355,3.7,2.1,4.4,-4.6,-22.1,31,31.2,15.1,-59.52,-0.66,-58.86,47.7,1.58,146.71,27,26.9,11.9,59.89,86.82,59.5,1.38,16,27,2,9,3.7,297,333,-18.9,-19.1
2015 Lions,7,9,7,400,358,-2.6,2.4,4.4,7.7,-1.1,24,34.6,12.3,44.12,77.76,-33.64,69.4,1.93,-85.51,19,38.2,9.1,-109.01,23.5,62.7,2.13,14,21,1,9,-15.6,358,346,-2.7,16.2
2015 Packers,10,6,9,323,368,2.8,2.5,5,-8,-3.6,17,33.3,8.9,54.93,79.41,-24.48,53.8,1.83,-1.65,22,31.3,11.5,-14.34,12.69,57.1,1.66,20,22,2,10,12.3,388,432,20.2,5.6
2015 Texans,9,7,9,313,339,1.6,-2.4,10.4,-8.9,-17.9,20,28.9,9.8,-44.98,12.41,-57.39,57.8,1.57,47.11,25,27.3,11.1,7.39,39.72,56.4,1.51,25,18,3,9,-21.9,328,279,-18.7,-6
2015 Colts,8,8,6,408,333,-4.7,-2,2.7,-20,-6.3,30,29.4,14.4,-39.36,18.03,-57.39,53.1,1.54,-52.3,25,36.6,12.4,-97.34,45.04,62.3,1.98,15,17,1,8,-4.6,392,411,6.3,6.2
2015 Jaguars,5,11,7,448,376,-4.5,-3,5.9,-8.6,11.2,28,34.2,14,0.57,52.47,-51.9,53.7,1.85,-88.89,18,38.1,8.8,-134.59,45.7,61.4,2.05,26,17,2,3,-10.4,400,318,-10.2,-3.1
2015 Chiefs,11,5,11,287,405,7.4,1.6,9.7,13.9,-21.5,15,37.9,7.1,78.03,47.83,30.2,57.4,1.99,69.97,29,27.3,15.3,27.86,42.11,60,1.52,13,16,0,12,13.5,311,389,6,-2
2015 Dolphins,6,10,6,389,310,-4.9,-1.9,8.1,-4.8,7.1,19,25.7,9.6,10.55,30.04,-19.49,53.5,1.52,-92.5,16,34,8.4,-129.92,37.42,60,1.94,25,32,1,10,1,380,363,7.5,2.8
2015 Vikings,11,5,9,302,365,3.9,1.9,3.3,3,-4.6,17,38.4,9.3,38.66,18.21,20.45,50,1.9,3.87,22,33.3,11.9,-35.54,39.41,44.2,1.7,13,21,2,8,-1.7,307,327,-12.8,0.2
2015 Patriots,12,4,11,315,465,9.4,-2.4,4.4,8.3,-2.4,14,43.2,5.7,135.33,167.7,-32.37,65.6,2.34,9.01,21,28.9,10.5,-43.77,52.78,57.1,1.54,19,31,0,14,24.9,250,441,24.3,-6.4
2015 Saints,7,9,7,476,408,-4.3,-2.3,3.3,12.6,28.1,20,36.3,10.4,159.01,178.88,-19.87,60.3,2.14,-204.1,22,43.9,11.7,-234.98,30.88,67.7,2.58,13,15,1,7,-1.9,454,469,14.5,13.2
2015 Giants,6,10,8,442,420,-1.4,-2.2,3.8,-1.8,13.7,21,38.2,11.3,71.99,107.79,-35.8,44.4,2.03,-105.13,28,40.5,14.2,-115.93,10.8,53.8,2.18,35,15,2,11,9.6,284,310,-6.9,-18
2015 Jets,10,6,10,314,387,4.6,-3,4,3.3,-12.2,24,35.7,11.6,68.1,95.9,-27.8,66,1.95,54.43,30,28.4,14.4,-23.17,77.6,35,1.45,20,26,1,5,-32.4,409,275,-25.8,0.9
2015 Raiders,7,9,7,399,359,-2.5,2.3,2.7,-5.6,-6,24,31.8,10.3,9.21,48.7,-39.49,61,1.79,-59.91,25,38.2,11.5,-70.87,10.96,51.7,1.92,24,15,1,12,8.2,385,416,6.9,2
2015 Eagles,7,9,7,430,377,-3.3,-1.3,8.1,-10.9,11,31,29.1,15.3,-4.8,34.73,-39.53,55.8,1.62,-65.84,26,36,11.8,-75.96,10.12,65.6,1.99,26,16,3,7,14.4,331,367,-7.6,-7.9
2015 Steelers,10,6,10,319,423,6.5,2.2,4.6,16.3,-8.3,28,40.5,13.7,120.35,138.73,-18.38,60.7,2.1,29.41,30,32.3,14.3,-56.26,85.67,49.1,1.71,12,14,2,11,17.1,327,399,13.4,-7.7
2015 Chargers,4,12,6,320,250,-4.4,2.2,3.6,-2.4,9.6,24,33.7,12.4,27.62,93.92,-66.3,63.6,1.78,-91.81,20,37.8,10,-84.7,-7.11,50,2,15,13,3,5,-1.1,423,410,-9.2,-6.9
2015 49ers,5,11,4,387,238,-9.3,3.8,7.4,-12.1,5.3,17,25.8,8.2,-49.15,-25.62,-23.53,43.6,1.28,-114.17,12,37.9,6.6,-147.51,33.34,59.3,2.04,16,10,1,2,-19.6,480,309,-6.6,13.6
2015 Seahawks,10,6,11,277,423,9.1,2.2,7.2,28,-21,16,42,8.6,151.3,171.26,-19.96,55.1,2.27,50.54,23,29.3,13.2,-8.69,59.23,42.1,1.43,21,15,1,10,8,292,354,-2.3,-6.7
2015 Rams,7,9,7,330,280,-3.1,3,4.4,-15.6,-6.1,22,24.5,10.2,-72.8,-41.85,-30.95,52.8,1.29,26.21,26,31.8,12.1,-38.11,64.32,41.7,1.52,17,21,2,4,-28.6,394,224,-45.7,-0.5
2015 Buccaneers,6,10,6,417,342,-4.7,-3,4.5,7.6,4.5,28,35.8,14.8,67.26,86.17,-18.91,52.9,1.85,-80.13,23,41.7,12.8,-134.46,54.33,64.3,2.23,11,14,1,9,-3,369,354,-2.8,-9
2015 Titans,3,13,5,423,299,-7.8,-2.8,5.6,-18.6,12.3,33,25.7,16.2,-60.55,-10.68,-49.87,65,1.5,-47.06,19,36.6,8.1,-105.21,58.15,62.3,2.06,15,15,1,9,3.5,378,381,14.4,8.3
2015 Redskins,9,7,8,379,388,0.6,-2.5,4.3,7.6,5,22,36.1,11.1,76.14,132.42,-56.28,61.2,1.95,-75.97,27,35.4,14.9,-100.12,24.15,55.1,1.97,26,14,2,8,9.5,383,396,21.2,7.3
